Category,Prompt,Query
Sales Analysis,BPCL total sales in last finacial year,"SELECT 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  comname = 'BPCL'
  AND fiscal_year = '2023-2024';"
Sales Analysis,What is the market share percentage of NEL company in the fiscal year 2024-2025,"SELECT 
  (company_sales.total_sales / industry_sales.total_sales) * 100 AS market_share_percentage
 FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE comname = 'NEL' AND fiscal_year = '2024-2025') AS company_sales,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_sales;"
Sales Analysis,Which company has the highest market share in the fiscal year 2024-2025,"SELECT 
  comname AS company_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025'
 GROUP BY comname, industry_total.total_sales
 ORDER BY market_share_percentage DESC
 LIMIT 1;"
Sales Analysis,Which company has the lowest market share in the fiscal year 2024-2025,"SELECT 
  comname AS company_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025'
 GROUP BY comname, industry_total.total_sales
 ORDER BY market_share_percentage ASC
 LIMIT 1;"
Sales Analysis,Give company wise market share in current financial year,"SELECT 
  comname AS company_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025'
 GROUP BY comname, industry_total.total_sales
 ORDER BY market_share_percentage ASC;"
Sales Analysis,Give PSU level company wise market share in current year,"SELECT 
  comname AS company_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025' and psu_pvt='PSU'
 GROUP BY comname, industry_total.total_sales
 ORDER BY market_share_percentage ASC;"
Sales Analysis,Give MPSU level company wise market share in current year,"SELECT 
  comname AS company_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025' and cpsu_pvt='PSU' and company_name='MPSU'
 GROUP BY comname, industry_total.total_sales
 ORDER BY market_share_percentage ASC;"
Sales Analysis,What is the Actual Cumulative Volume for OIL in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS actual_cumulative_volume
 FROM 
  industry_performance
 WHERE 
  comname = 'OIL'
  AND fiscal_year = '2024-2025';"
Sales Analysis,What is the sales difference and sales growth percentage for BPCL in the I&C SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  (current_year.total_sales - previous_year.total_sales) AS sales_difference,
  ((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100 AS sales_growth_percentage
 FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE comname = 'BPCL' AND sbu_name = 'I&C' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE comname = 'BPCL' AND sbu_name = 'I&C' AND fiscal_year = '2023-2024') AS previous_year;"
Sales Analysis,Which company has the highest Actual Cumulative Volume between SHELL and RIL in the fiscal year 2024-2025,"SELECT 
  comname AS company_name,
  SUM(netweight_tmt) AS actual_cumulative_volume
 FROM 
  industry_performance
 WHERE 
  comname IN ('SHELL', 'RIL')
  AND fiscal_year = '2024-2025'
 GROUP BY comname
 ORDER BY actual_cumulative_volume DESC
 LIMIT 1;"
Sales Analysis,What is the sales difference and growth percentage for IOCL in the I&C SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  (current_year.total_sales - previous_year.total_sales) AS sales_difference,
  ((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100 AS growth_percentage
 FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE comname = 'IOCL' AND sbu_name = 'I&C' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE comname = 'IOCL' AND sbu_name = 'I&C' AND fiscal_year = '2023-2024') AS previous_year;"
Sales Analysis,In which month did HMEL have the lowest market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  comname = 'HMEL' 
  AND fiscal_year = '2024-2025'
 GROUP BY month_name, industry_total.total_sales
 ORDER BY market_share_percentage ASC
 LIMIT 1;"
Sales Analysis,In which month did SMA Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  comname = 'SMA' 
  AND fiscal_year = '2024-2025'
 GROUP BY month_name, industry_total.total_sales
 ORDER BY market_share_percentage DESC
 LIMIT 1;"
Sales Analysis,What are the zones in current fiscal year where HPCL market share is highest,"SELECT 
  zone_name, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  comname = 'HPCL'
  AND fiscal_year = '2024-2025'
 GROUP BY 
  zone_name
 ORDER BY 
  total_sales DESC
 LIMIT 10;"
Sales Analysis,What are the top 10 zones in HPCL sales for the fiscal year 2023-2024,"SELECT 
  zone_name, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  comname = 'HPCL'
  AND fiscal_year = '2023-2024'
 GROUP BY 
  zone_name
 ORDER BY 
  total_sales DESC
 LIMIT 10;"
Sales Analysis,Top 10 Zones in maket contribution for the CY[for all SBU's],"SELECT 
  zone_name, 
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_contribution_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025'
 GROUP BY 
  zone_name, industry_total.total_sales
 ORDER BY 
  market_contribution_percentage DESC
 LIMIT 10;"
Sales Analysis,Top 10 Zones in the market contribution for the LY[for all SBU's],"SELECT 
  zone_name, 
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_contribution_percentage
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2023-2024') AS industry_total
 WHERE 
  fiscal_year = '2023-2024'
 GROUP BY 
  zone_name, industry_total.total_sales
 ORDER BY 
  market_contribution_percentage DESC
 LIMIT 10;"
Sales Analysis,SBU Wise Market share for the CY and LY,"SELECT 
  COALESCE(CY.sbu_name, LY.sbu_name) AS sbu_name,
  CY.market_share_percentage AS market_share_CY,
  LY.market_share_percentage AS market_share_LY
 FROM 
  (SELECT 
  sbu_name, 
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
  FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
  WHERE 
  fiscal_year = '2024-2025'
  GROUP BY 
  sbu_name, industry_total.total_sales) AS CY
 FULL JOIN 
  (SELECT 
  sbu_name, 
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
  FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2023-2024') AS industry_total
  WHERE 
  fiscal_year = '2023-2024'
  GROUP BY 
  sbu_name, industry_total.total_sales) AS LY
 ON CY.sbu_name = LY.sbu_name
 ORDER BY market_share_CY DESC NULLS LAST;"
Sales Analysis,Give least 5 districts where HPCL growth was less,"WITH current_year AS (
    SELECT distname, SUM(netweight_tmt) AS total_sales_current
    FROM industry_performance
    WHERE coname = 'HPCL' AND fiscal_year = '2024-2025'
    GROUP BY distname
),
previous_year AS (
    SELECT distname, SUM(netweight_tmt) AS total_sales_previous
    FROM industry_performance
    WHERE coname = 'HPCL' AND fiscal_year = '2023-2024'
    GROUP BY distname
)
SELECT 
    c.distname,
    COALESCE(p.total_sales_previous, 0) AS total_sales_previous,
    COALESCE(c.total_sales_current, 0) AS total_sales_current,
    CASE 
        WHEN COALESCE(p.total_sales_previous, 0) = 0 THEN NULL
        ELSE ((COALESCE(c.total_sales_current, 0) - COALESCE(p.total_sales_previous, 0)) * 100.0 / p.total_sales_previous)
    END AS growth_percentage
FROM current_year c
LEFT JOIN previous_year p ON c.distname = p.distname
ORDER BY growth_percentage ASC
LIMIT 5;"
Sales Analysis,Give least 5 districts where HPCL growth was improved,"WITH current_year AS (
    SELECT distname, SUM(netweight_tmt) AS total_sales_current
    FROM industry_performance
    WHERE coname = 'HPCL' AND fiscal_year = '2024-2025'
    GROUP BY distname
),
previous_year AS (
    SELECT distname, SUM(netweight_tmt) AS total_sales_previous
    FROM industry_performance
    WHERE coname = 'HPCL' AND fiscal_year = '2023-2024'
    GROUP BY distname
)
SELECT 
    c.distname,
    COALESCE(p.total_sales_previous, 0) AS total_sales_previous,
    COALESCE(c.total_sales_current, 0) AS total_sales_current,
    CASE 
        WHEN COALESCE(p.total_sales_previous, 0) = 0 THEN NULL
        ELSE ((COALESCE(c.total_sales_current, 0) - COALESCE(p.total_sales_previous, 0)) * 100.0 / p.total_sales_previous)
    END AS growth_percentage
FROM current_year c
LEFT JOIN previous_year p ON c.distname = p.distname
ORDER BY growth_percentage DESC
LIMIT 5;"
Sales Analysis,What is the sales difference and sales growth percentage for Lubes between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  (current_year.total_sales - previous_year.total_sales) AS sales_difference,
  ((current_year.total_sales - previous_year.total_sales) / NULLIF(previous_year.total_sales, 0)) * 100 AS sales_growth_percentage
 FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE productname ILIKE '%Lube%' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE productname ILIKE '%Lube%' AND fiscal_year = '2023-2024') AS previous_year;"
Sales Analysis,What are the zones in current fiscal year where HPCL market share is highest,"SELECT 
  zone_name
 FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
 WHERE 
  fiscal_year = '2024-2025'
  AND comname = 'HPCL'
 GROUP BY 
  zone_name, industry_total.total_sales
 ORDER BY 
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 DESC
 LIMIT 1;"
Sales Analysis,Which are the 5 lowest-performing sales regions for NAPHTHA-LAN in the fiscal year 2024-2025,"SELECT 
  region_name, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  fiscal_year = '2024-2025'
  AND productname = 'NAPHTHA-LAN'
 GROUP BY 
  region_name
 ORDER BY 
  total_sales ASC
 LIMIT 5;
 SELECT DISTINCT productname 
 FROM industry_performance 
 WHERE fiscal_year = '2024-2025';"
Sales Analysis,Which are the 5 highest-performing sales regions for NAPHTHA-LAN in the fiscal year 2024-2025,"SELECT 
  region_name, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  fiscal_year = '2024-2025'
  AND productname = 'NAPHTHA-LAN'
 GROUP BY 
  region_name
 ORDER BY 
  total_sales DESC
 LIMIT 5;"
Sales Analysis,Which are the least performing zones when comparing BPCL and IOCL in the fiscal year 2024-2025,"SELECT 
  zone_name, 
  comname, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  fiscal_year = '2024-2025'
  AND comname IN ('BPCL', 'IOCL')
 GROUP BY 
  zone_name, comname
 ORDER BY 
  total_sales ASC
 LIMIT 5;"
Sales Analysis,Which regions had a percentage gain of less than 5% in sales in the fiscal year 2024-2025 compared to 2023-2024,"SELECT 
  current_year.region_name, 
  ((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100 AS percentage_gain
 FROM 
  (SELECT region_name, SUM(total) AS total_sales 
  FROM industry_performance 
  WHERE fiscal_year = '2024-2025' 
  GROUP BY region_name) AS current_year
 JOIN 
  (SELECT region_name, SUM(netweight_tmt) AS total_sales 
  FROM industry_performance 
  WHERE fiscal_year = '2023-2024' 
  GROUP BY region_name) AS previous_year
 ON current_year.region_name = previous_year.region_name
 WHERE 
  ((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100 < 5
 ORDER BY 
  percentage_gain ASC;"
Sales Analysis,"Compare the sales of NAPHTHA-LAN between HPCL, BPCL and IOCL for the year 2023-2024, 2024-2025","SELECT 
  comname AS company_name, 
  fiscal_year, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  fiscal_year IN ('2023-2024', '2024-2025')
  AND comname IN ('HPCL', 'BPCL', 'IOCL')
  AND productname = 'NAPHTHA-LAN' 
 GROUP BY 
  comname, fiscal_year
 ORDER BY 
  comname, fiscal_year;"
Sales Analysis,What are the top 10 zones in HPCL sales for the fiscal year 2024-2025,"SELECT 
  zone_name, 
  SUM(netweight_tmt) AS total_sales
 FROM 
  industry_performance
 WHERE 
  comname = 'HPCL'
  AND fiscal_year = '2024-2025'
 GROUP BY 
  zone_name
 ORDER BY 
  total_sales DESC
 LIMIT 10;"
Sales Analysis,What is the total sales for IOCL in the I&C SBU for the fiscal year 2024-2025,"SELECT SUM(netweight_tmt) as total_sales
FROM industry_performance
WHERE company_name = 'IOCL' 
  AND sbu_name = 'I&C' 
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales in  the Retail sbu for BPCL in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales 
FROM industry_performance
WHERE company_name = 'BPCL' 
  AND sbu_name = 'Retail' 
  AND fiscal_year = '2024-2025';
"
Sales Analysis,In which month did BPCL Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'BPCL' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,In which month did IOCL Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'IOCL' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,In which month did ONGC Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'ONGC' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,In which month did GAIL Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'GAIL' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,In which month did OIL Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'OIL' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,In which month did RIL Company have the highest cumulative market share in the current fiscal year 2024-2025,"SELECT 
  month_name,
  (SUM(netweight_tmt) / industry_total.total_sales) * 100 AS market_share_percentage
FROM 
  industry_performance,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE fiscal_year = '2024-2025') AS industry_total
WHERE 
  company_name = 'RIL' 
  AND fiscal_year = '2024-2025'
GROUP BY month_name, industry_total.total_sales
ORDER BY market_share_percentage DESC
LIMIT 1;
"
Sales Analysis,What is the total sales for BPCL in the Retail SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'BPCL'
  AND sbu_name = 'Retail'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for SMA in the Retail SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'SMA'
  AND sbu_name = 'Retail'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for IOCL in the LPG SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'IOCL'
  AND sbu_name = 'LPG'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for BPCL in the Aviation SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'BPCL'
  AND sbu_name = 'Aviation'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for SMA in the Lubes SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'SMA'
  AND sbu_name = 'Lubes'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for OIL in the Retail SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'OIL'
  AND sbu_name = 'Retail'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for GAIL in the Aviation SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'GAIL'
  AND sbu_name = 'Aviation'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for RIL in the NG SBU for the fiscal year 2024-2025 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'RIL'
  AND sbu_name = 'NG'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What is the total sales for HPCL in the Retail SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'HPCL'
  AND sbu_name = 'Retail'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for IOCL in the LPG SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'IOCL'
  AND sbu_name = 'LPG'
  AND fiscal_year = '2023-2024';"
Sales Analysis,What is the total sales for BPCL in the Aviation SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'BPCL'
  AND sbu_name = 'Aviation'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for SMA in the NG SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'SMA'
  AND sbu_name = 'NG'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for ONGC in the I&C SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'ONGC'
  AND sbu_name = 'I&C'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for GAIL in the Retail SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'GAIL'
  AND sbu_name = 'Retail'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for OIL in the Aviation SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'OIL'
  AND sbu_name = 'Aviation'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for RIL in the Lubes SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'RIL'
  AND sbu_name = 'Lubes'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for BPCL in the LPG SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'BPCL'
  AND sbu_name = 'LPG'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for IOCL in the NG SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'IOCL'
  AND sbu_name = 'NG'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the total sales for HPCL in the Aviation SBU for the fiscal year 2023-2024 in TMT,"SELECT 
  ROUND(SUM(netweight_tmt)/1000) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'HPCL'
  AND sbu_name = 'Aviation'
  AND fiscal_year = '2023-2024';
"
Sales Analysis,What is the sales difference and sales growth percentage for the Retail SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  ROUND((current_year.total_sales - previous_year.total_sales)) AS sales_difference,
  ROUND(((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100, 1) AS sales_growth_percentage
FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Retail' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Retail' AND fiscal_year = '2023-2024') AS previous_year;
"
Sales Analysis,What is the sales difference and sales growth percentage for the LPG SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  ROUND((current_year.total_sales - previous_year.total_sales)) AS sales_difference,
  ROUND(((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100, 1) AS sales_growth_percentage
FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'LPG' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'LPG' AND fiscal_year = '2023-2024') AS previous_year;
"
Sales Analysis,What is the sales difference and sales growth percentage for the NG SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  ROUND((current_year.total_sales - previous_year.total_sales)) AS sales_difference,
  ROUND(((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100, 1) AS sales_growth_percentage
FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'NG' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'NG' AND fiscal_year = '2023-2024') AS previous_year;
"
Sales Analysis,What is the sales difference and sales growth percentage for the Aviation SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  ROUND((current_year.total_sales - previous_year.total_sales)) AS sales_difference,
  ROUND(((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100, 1) AS sales_growth_percentage
FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Aviation' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Aviation' AND fiscal_year = '2023-2024') AS previous_year;
"
Sales Analysis,What is the sales difference and sales growth percentage for the Lubes SBU between the fiscal years 2023-2024 and 2024-2025,"SELECT 
  ROUND((current_year.total_sales - previous_year.total_sales)) AS sales_difference,
  ROUND(((current_year.total_sales - previous_year.total_sales) / previous_year.total_sales) * 100, 1) AS sales_growth_percentage
FROM 
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Lubes' AND fiscal_year = '2024-2025') AS current_year,
  (SELECT SUM(netweight_tmt) AS total_sales FROM industry_performance WHERE sbu_name = 'Lubes' AND fiscal_year = '2023-2024') AS previous_year;
"
Sales Analysis,What are the total sales of HPCL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'HPCL'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of BPCL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'BPCL'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of SMA across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'SMA'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of GAIL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'GAIL'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of OIL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'OIL'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of RIL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'RIL'
  AND fiscal_year = '2024-2025';
"
Sales Analysis,What are the total sales of CPCL across all SBUs in the fiscal year 2024-2025,"SELECT 
  SUM(netweight_tmt) AS total_sales
FROM 
  industry_performance
WHERE 
  company_name = 'CPCL'
  AND fiscal_year = '2024-2025';
"
